y [m],Bending Moment [Nm]
3.771,26296.68312
3.7867125,25923.6765
3.802425,25555.02601
3.8181375,25190.72139
3.83385,24830.75236
3.8495625,24475.10857
3.865275,24123.77961
3.8809875,23776.75504
3.8967,23434.02435
3.9124125,23095.57699
3.928125,22761.40235
3.9438375,22431.48977
3.95955,22105.82854
3.9752625,21784.40788
3.990975,21467.21698
4.0066875,21154.24496
4.0224,20845.48088
4.0381125,20540.91377
4.053825,20240.53256
4.0695375,19944.32617
4.08525,19652.28344
4.1009625,19364.39315
4.116675,19080.64402
4.1323875,18801.02474
4.1481,18525.52389
4.1638125,18254.13005
4.179525,17986.83168
4.1952375,17723.61724
4.21095,17464.47507
4.2266625,17209.3935
4.242375,16958.36076
4.2580875,16711.36504
4.2738,16468.39445
4.2895125,16229.43705
4.305225,15994.48082
4.3209375,15763.5137
4.33665,15536.52355
4.3523625,15313.49814
4.368075,15094.42522
4.3837875,14879.29243
4.3995,14668.08737
4.4152125,14460.79756
4.430925,14257.41044
4.4466375,14057.9134
4.46235,13862.29374
4.4780625,13670.53869
4.493775,13482.63544
4.5094875,13298.57105
4.5252,13118.33255
4.5409125,12941.90688
4.556625,12769.28089
4.5723375,12600.44138
4.58805,12435.37506
4.6037625,12274.06856
4.619475,12116.50841
4.6351875,11962.68111
4.6509,11812.57302
4.6666125,11666.17046
4.682325,11523.45965
4.6980375,11384.42673
4.71375,11249.05774
4.7294625,11117.33866
4.745175,10989.25535
4.7608875,10864.79361
4.7766,10743.93913
4.7923125,10626.67752
4.808025,10512.99429
4.8237375,10402.87486
4.83945,10296.30455
4.8551625,10193.2686
4.870875,10093.75212
4.8865875,9997.740149
4.9023,9905.217618
4.9180125,9816.169352
4.933725,9730.580074
4.9494375,9648.434399
4.960660372,9708.122141
4.96515,9639.468936
4.9808625,9401.392455
4.996575,9166.712781
5.0122875,8935.414093
5.028,8707.480456
5.0437125,8482.895819
5.059425,8261.644014
5.0751375,8043.708751
5.09085,7829.07362
5.1065625,7617.722087
5.122275,7409.637491
5.1379875,7204.803043
5.1537,7003.201822
5.1694125,6804.816776
5.185125,6609.630716
5.2008375,6417.626314
5.21655,6228.786102
5.2322625,6043.092469
5.247975,5860.527654
5.2636875,5681.073751
5.2794,5504.712697
5.2951125,5331.426275
5.310825,5161.19611
5.3265375,4994.003662
5.34225,4829.830225
5.3579625,4668.656923
5.373675,4510.464706
5.3893875,4355.234346
5.4051,4202.946432
5.4208125,4053.581367
5.436525,3907.119361
5.4522375,3763.540429
5.46795,3622.824383
5.4836625,3484.950831
5.499375,3349.899166
5.5150875,3217.648562
5.5308,3088.177973
5.5465125,2961.466117
5.562225,2837.491479
5.5779375,2716.232295
5.59365,2597.666553
5.6093625,2481.771978
5.625075,2368.526026
5.6407875,2257.905879
5.6565,2149.888429
