y [m],Shear Force [N],Shear Force [N]
2.32545,15331.69437,-15331.69437
2.3411625,15005.72118,-15005.72118
2.356875,14680.16952,-14680.16952
2.3725875,14355.04143,-14355.04143
2.3883,14030.33894,-14030.33894
2.4040125,13706.0641,-13706.0641
2.419725,13382.21895,-13382.21895
2.4354375,13058.80556,-13058.80556
2.45115,12735.82599,-12735.82599
2.4668625,12413.2823,-12413.2823
2.482575,12091.17657,-12091.17657
2.4982875,11769.5109,-11769.5109
2.514,11448.28737,-11448.28737
2.5297125,11127.50808,-11127.50808
2.545425,10807.17514,-10807.17514
2.5611375,10487.29067,-10487.29067
2.57685,10167.85678,-10167.85678
2.5925625,9848.87561,-9848.87561
2.608275,9530.349297,-9530.349297
2.6239875,9212.279987,-9212.279987
2.6397,8894.669834,-8894.669834
2.6554125,8577.521001,-8577.521001
2.671125,8260.835658,-8260.835658
2.6868375,7944.615986,-7944.615986
2.70255,7628.864171,-7628.864171
2.7182625,7313.58241,-7313.58241
2.733975,6998.772909,-6998.772909
2.7496875,6684.43788,-6684.43788
2.7654,6370.579548,-6370.579548
2.7811125,6057.200144,-6057.200144
2.796825,5744.301909,-5744.301909
2.8125375,5431.887093,-5431.887093
2.82825,5119.957956,-5119.957956
2.8439625,4808.516767,-4808.516767
2.859675,4497.565805,-4497.565805
2.8753875,4187.107358,-4187.107358
2.8911,3877.143726,-3877.143726
2.9068125,3567.677216,-3567.677216
2.922525,3258.710147,-3258.710147
2.9382375,2950.244848,-2950.244848
2.95395,2642.283658,-2642.283658
2.9696625,2334.828927,-2334.828927
2.985375,2027.883015,-2027.883015
3.0010875,1721.448293,-1721.448293
3.0168,1415.527143,-1415.527143
3.0325125,1110.121959,-1110.121959
3.048225,805.2351449,-805.2351449
3.0639375,500.8691164,-500.8691164
3.07965,197.026301,-197.026301
3.0953625,-106.2908624,106.2908624
3.111075,-409.0799232,409.0799232
3.1267875,-711.3384184,711.3384184
3.1425,-1013.063873,1013.063873
3.1582125,-1314.2538,1314.2538
3.173925,-1614.9057,1614.9057
3.1896375,-1915.017061,1915.017061
3.20535,-2214.585357,2214.585357
3.209838258,-2300.05669,2300.05669
3.2210625,33979.59182,-33979.59182
3.236775,33681.11728,-33681.11728
3.2524875,33383.19346,-33383.19346
3.2682,33085.82294,-33085.82294
3.2839125,32789.0083,-32789.0083
3.299625,32492.75216,-32492.75216
3.3153375,32197.05713,-32197.05713
3.33105,31901.92586,-31901.92586
3.3467625,31607.36097,-31607.36097
3.362475,31313.36515,-31313.36515
3.3781875,31019.94107,-31019.94107
3.3939,30727.09141,-30727.09141
3.4096125,30434.8189,-30434.8189
3.425325,30143.12625,-30143.12625
3.4410375,29852.0162,-29852.0162
3.45675,29561.49151,-29561.49151
3.4724625,29271.55496,-29271.55496
3.488175,28982.20932,-28982.20932
3.5038875,28693.45741,-28693.45741
3.5196,28405.30204,-28405.30204
3.5353125,28117.74607,-28117.74607
3.551025,27830.79233,-27830.79233
3.5667375,27544.44371,-27544.44371
3.58245,27258.7031,-27258.7031
3.5981625,26973.57341,-26973.57341
3.613875,26689.05757,-26689.05757
3.6295875,26405.15852,-26405.15852
3.6453,26121.87924,-26121.87924
3.6610125,25839.22271,-25839.22271
3.676725,25557.19193,-25557.19193
3.6924375,25275.78993,-25275.78993
3.70815,24995.01976,-24995.01976
3.7238625,24714.88448,-24714.88448
3.739575,24435.38719,-24435.38719
3.7552875,24156.53098,-24156.53098
3.771,23878.31899,-23878.31899
3.7867125,23600.75438,-23600.75438
3.802425,23323.84031,-23323.84031
3.8181375,23047.57998,-23047.57998
3.83385,22771.97662,-22771.97662
3.8495625,22497.03346,-22497.03346
3.865275,22222.75378,-22222.75378
3.8809875,21949.14085,-21949.14085
3.8967,21676.19801,-21676.19801
3.9124125,21403.92859,-21403.92859
3.928125,21132.33596,-21132.33596
3.9438375,20861.4235,-20861.4235
