y [m],Total Torsion [Nm]
3.70815,-2573.449643
3.7238625,-2523.068673
3.739575,-2472.538799
3.7552875,-2421.861311
3.771,-2371.037497
3.7867125,-2320.068647
3.802425,-2268.95605
3.8181375,-2217.700995
3.83385,-2166.304772
3.8495625,-2114.768669
3.865275,-2063.093975
3.8809875,-2011.28198
3.8967,-1959.333973
3.9124125,-1907.251243
3.928125,-1855.03508
3.9438375,-1802.686772
3.95955,-1750.20761
3.9752625,-1697.598882
3.990975,-1644.861877
4.0066875,-1591.997887
4.0224,-1539.008199
4.0381125,-1485.894103
4.053825,-1432.656889
4.0695375,-1379.297848
4.08525,-1325.818268
4.1009625,-1272.219439
4.116675,-1218.502651
4.1323875,-1164.669195
4.1481,-1110.720361
4.1638125,-1056.657438
4.179525,-1002.481718
4.1952375,-948.1944897
4.21095,-893.7970447
4.2266625,-839.2906735
4.242375,-784.6766668
4.2580875,-729.9563157
4.2738,-675.1309113
4.2895125,-620.2017447
4.305225,-565.1701074
4.3209375,-510.0372909
4.33665,-454.8045871
4.3523625,-399.4732877
4.368075,-344.044685
4.3837875,-288.5200713
4.3995,-232.900739
4.4152125,-177.187981
4.430925,-121.3830901
4.4466375,-65.48735959
4.46235,-9.502082901
4.4780625,46.57144627
4.493775,102.731934
4.5094875,158.9780859
4.5252,215.3086076
4.5409125,271.7222042
4.556625,328.2175806
4.5723375,384.7934413
4.58805,441.4484905
4.6037625,498.181432
4.619475,554.9909693
4.6351875,611.8758055
4.6509,668.8346434
4.6666125,725.8661851
4.682325,782.9691327
4.6980375,840.1421874
4.71375,897.3840504
4.7294625,954.693422
4.745175,1012.069002
4.7608875,1069.509491
4.7766,1127.013586
4.7923125,1184.579987
4.808025,1242.207391
4.8237375,1299.894496
4.83945,1357.639998
4.8551625,1415.442593
4.870875,1473.300976
4.8865875,1531.213842
4.9023,1589.179884
4.9180125,1647.197797
4.933725,1705.266271
4.9494375,1763.383999
4.960660372,1804.94632
4.96515,-3635.348
4.9808625,-3577.135694
4.996575,-3518.878064
5.0122875,-3460.576425
5.028,-3402.232087
5.0437125,-3343.846366
5.059425,-3285.420577
5.0751375,-3226.956036
5.09085,-3168.454061
5.1065625,-3109.915969
5.122275,-3051.343082
5.1379875,-2992.736721
5.1537,-2934.098208
5.1694125,-2875.428868
5.185125,-2816.730025
5.2008375,-2758.003008
5.21655,-2699.249144
5.2322625,-2640.469765
5.247975,-2581.666203
5.2636875,-2522.839792
5.2794,-2463.991868
5.2951125,-2405.123769
5.310825,-2346.236836
5.3265375,-2287.33241
5.34225,-2228.411837
5.3579625,-2169.476465
5.373675,-2110.527643
