y;moment;shear;torsion;;
1.6341;155935.9034;-76914.64891;47854.30338;;
1.6498125;154730.074;-76572.04929;47594.06924;;
1.665525;153529.625;-76229.7874;47334.53269;;
1.6812375;152334.5512;-75887.86507;47075.69354;;
1.69695;151144.8471;-75546.2841;46817.5516;;
1.7126625;149960.5074;-75205.0463;46560.1067;;
1.728375;148781.5267;-74864.15349;46303.35865;;
1.7440875;147607.8995;-74523.60748;46047.30726;;
1.7598;146439.6205;-74183.41011;45791.95234;;
1.7755125;145276.684;-73843.56319;45537.29369;;
1.791225;144119.0847;-73504.06857;45283.33111;;
1.8069375;142966.8168;-73164.92808;45030.06441;;
1.82265;141819.8749;-72826.14356;44777.49338;;
1.8383625;140678.2534;-72487.71686;44525.61781;;
1.854075;139541.9466;-72149.64983;44274.4375;;
1.8697875;138410.9488;-71811.94431;44023.95225;;
1.8855;137285.2543;-71474.60217;43774.16182;;
1.9012125;136164.8575;-71137.62528;43525.06602;;
1.916925;135049.7525;-70801.01549;43276.66461;;
1.9326375;133939.9336;-70464.77469;43028.95738;;
1.94835;132835.395;-70128.90475;42781.94411;;
1.9640625;131736.1308;-69793.40755;42535.62457;;
1.979775;130642.1352;-69458.28499;42289.99853;;
1.9954875;129553.4023;-69123.53894;42045.06576;;
2.0112;128469.926;-68789.17131;41800.82603;;
2.0269125;127391.7006;-68455.184;41557.2791;;
2.042625;126318.7199;-68121.57892;41314.42473;;
2.0583375;125250.9779;-67788.35797;41072.26268;;
2.07405;124188.4687;-67455.52309;40830.79271;;
2.0897625;123131.1861;-67123.07618;40590.01457;;
2.105475;122079.124;-66791.01918;40349.92801;;
2.1211875;121032.2763;-66459.35402;40110.53278;;
2.1369;119990.6367;-66128.08264;39871.82864;;
2.1526125;118954.1992;-65797.20698;39633.81531;;
2.168325;117922.9574;-65466.729;39396.49256;;
2.1840375;116896.9051;-65136.65064;39159.8601;;
2.19975;115876.0361;-64806.97388;38923.91769;;
2.2154625;114860.3439;-64477.70068;38688.66506;;
2.231175;113849.8222;-64148.833;38454.10193;;
2.2468875;112844.4647;-63820.37284;38220.22805;;
2.2626;111844.2648;-63492.32217;37987.04313;;
2.2783125;110849.2163;-63164.68299;37754.5469;;
2.294025;109859.3125;-62837.45729;37522.73909;;
2.3097375;108874.547;-62510.64708;37291.61942;;
2.32545;107894.9132;-62184.25437;37061.1876;;
2.3411625;106920.4046;-61858.28118;36831.44336;;
2.356875;105951.0145;-61532.72952;36602.3864;;
2.3725875;104986.7364;-61207.60143;36374.01643;;
2.3883;104027.5634;-60882.89894;36146.33318;;
2.4040125;103073.489;-60558.6241;35919.33634;;
2.419725;102124.5064;-60234.77895;35693.02562;;
2.4354375;101180.6088;-59911.36556;35467.40072;;
2.45115;100241.7895;-59588.38599;35242.46135;;
2.4668625;99308.04153;-59265.8423;35018.2072;;
2.482575;98379.3581;-58943.73657;34794.63797;;
2.4982875;97455.7323;-58622.0709;34571.75335;;
2.514;96537.15721;-58300.84737;34349.55304;;
2.5297125;95623.62585;-57980.06808;34128.03672;;
2.545425;94715.13123;-57659.73514;33907.20408;;
2.5611375;93811.66632;-57339.85067;33687.05482;;
2.57685;92913.22406;-57020.41678;33467.58861;;
2.5925625;92019.79736;-56701.43561;33248.80513;;
2.608275;91131.37907;-56382.9093;33030.70407;;
2.6239875;90247.96204;-56064.83999;32813.28511;;
2.6397;89369.53907;-55747.22983;32596.54791;;
